id,Categories,Response,Further Responses,Notes,
,Milk the Monster,<Audio only response>,,,
,Wake Up Clock,This skill requires access to your zip code in order to retrieve your local time. Use the Alexa app to grant this skill permission to access your zip code.,,Requests access to zip code,
,Number Games,"Hello Kiddos, Let us have some fun with numbers! You can say Help any time if you need any assistance. Choose any fictional or cartoon avatar for yourself. Who do you want to be?",[Batman] Hope you had good fun!,Might need a TV screen to be fully functional; exits no matter what user inputs,
,Punish the kids!,,,Skill not found,
,Whack A Weasel,"Welcome to Whack A Weasel! Please choose the Game Mode, Easy, Normal or Hard?","[easy] Okay Difficulty Mode set to EASY, How many buttons do you want to play with? [four] Please click on the 4 buttons, one after the other",Requires Alexa buttons,
,Yes or No Response Decision Helper,No thank you.,Absolutely yes,"Opens ""Yes or No"" instead",
,Gravity Falls Trivia,"Welcome to Gravity Falls Trivia. I will ask you 3 questions, try to get as many right as you can. Just say the number of the answer. Let's begin. Question 1. What is the name of Grunkle Stan's twin brother? 1. Stanley Pines. 2. Stanford Pines. 3. Samuel Pines.",[Two] That answer is correct. Your score is 1. Question 2. What are the main characters of Gravity Falls? 1. Spongebob and Patrick. 2. Dipper and Mabel. 3. Mickey and Minnie Mouse. [Two] That answer is correct. Your score is 2. Question 3. What is Soos's real name? 1. Susan. 2. Jesus. 3. Susai. [Three] That answer is wrong. The correct answer is 2: Jesus. You got 2 out of 3 questions correct. Thank you for playing!,,
,Bamboo Math,"Welcome to Bamboo Math. Would you like to try addition, subtraction, multiplication, or division?","[Multiplication] Would you like easy or hard multiplication problems? [Easy] OK. Let's start with 8 multiplication problems, from level 2. At any time, you can switch levels. What is 4 times 2 [Eight] <Good job. What is 3 times 3>? [Nine]","Console does not output the text of any question after the first, although the audio still asks the questions and accepts responses.",
,Young Picasso,"Sorry, I'm having trouble accessing your Young Picasso skill right now",,Skill not functional,
,"Alien, Ninja, Bear",<Audio only response>,,,
,Disney Fan Challenge,"Welcome to Disney Challenge. I will ask you 5 questions, try to get as many right as you can. Just say the number of the answer. Let's begin. Question 1. Which Disney character appears as a stuffed animal in Frozen? 1. Daisy. 2. Simba. 3. Winnie the Pooh. 4. Mickey Mouse. 5. Tinker Bell.","[Three] That answer is wrong. The correct answer is 4: Mickey Mouse. Your score is 0. Question 2. In Cinderella, who did the dress in the Attic belong to? 1. Cinderella's stepmother. 2. Cinderella's grandmother. 3. Fairy godmother. 4. Cinderella's mother. 5. King's first wife. [Four] That answer is correct. Your score is 1. Question 3. In Beauty and the Beast, how many egss does Gaston eat for breakfast? 1. 3 dozen. 2. 5 dozen. 3. 4 dozen. 4. 1 dozen. 5. 2 dozen. [One] That answer is wrong. The correct answer is 2: 5 dozen. Your score is 1. Question 4. In Sleeping Beauty, what did Flora do for Aurora's birthday? 1. Clean the room. 2. Give her a magic wand. 3. Make a meal. 4. Make a cake. 5. Make a dress. [Four] That answer is wrong. The correct answer is 5: Make a dress. Your score is 1. Question 5. At the end of the Beauty and the Beast, what does the footstool turn back into? 1. Dog. 2. Horse. 3. Dragon. 4. Wolf. 5. Cat. [Five]  That answer is wrong. The correct answer is 1: Dog. You got 1 out of 5 questions correct. Thank you for playing! ",,
,Fast Math Game,"Sorry, I'm having trouble accessing your Fast Math Game skill right now",,Skill not functional,
,ABC,Here is your alphabet song <Audio only response>,,,
,What if...?,"Welcome to the ""what if"" game I will ask you what if... kind of questions, you can reply with a ""Yes"" if you agree or ""no"" if you do not agree. You can also say begin, pause, or, you can say stop at any point in time... What can I help you with?","[Begin] what if... Pokemon is for realbut... all the normal animals are extinctWhat do you think? ""yes"" or ""No""? [Yes] Honk 40 percent people think just like you!but if you will think about what people might think of you, then what the people would think of? Very smart! I know right? what if... Pokemon is for realbut... all the normal animals are extinctWhat do you think? ""yes"" or ""No""? [Yes] Darn 40 percent people think just like you!I think you should ask your friends and see what they think? what if... you never sleep longer than 5 hours a nightbut... you could craft and control your dreams every nightDo you agree? you can say ""yes"" or ""no"". [No]  Wah wah 31 percent people think just like you!I know! Even I am shocked! what if... you could have any one super hero's powersbut... a super villain will always be looking to get you killedYou can say ""yes"" if you agree or you can say ""No"" if you don't [No] Ouch 43 percent people think just like you!but if you will think about what people might think of you, then what the people would think of? Very smart! I know right? what if... the sun shines when you are happybut... it rains when you are sadDo you agree? you can say ""yes"" or ""no"". [No] Yikes 22 percent people think just like you!But I am with you what if... you could make an app developer very happybut... you have to rate 5 starsDo you agree? you can say ""yes"" or ""no"".",The voice output sounds very strange and the text output is particularly poor grammatically; asks for 5 star ratings,
,Kids News,"Now when you ask for the news, you will hear long form content from one source. You can still ask for your Flash Briefing if you would prefer it.",,Skill not recognized,
,Family Trivia,"Welcome to Family Trivia. I will ask you 5 questions, try to get as many right as you can. Please reply with the number of the answer. For example, say one or two. Let's begin. Question 1. Who improved the design of the modern day incandescent light bulb? 1. Thomas Edison. 2. Alexander Gram Bell.","[One] well done. You got it! Your score is 1. Question 2. Which metal makes the strongest magnets? 1. Iron. 2. Silver. [One]  bravo. There you go. Your score is 2. Question 3. What is the name of the boy that visits the chocolate factory owned by Willy Wonka? 1. Charlie. 2. Chris. [One]  bingo. You got it! Your score is 3. Question 4. Who wrote the play Hamlet? 1. Ludwig van Beethoven. 2. William Shakespeare. [Two] well done. Awesome! Your score is 4. Question 5. What is the fastest land animal in the world? 1. Gazelle. 2. Cheetah. [One]  bummer. Maybe next time. The correct answer is 2: Cheetah. Thank you for playing! You got 4 out of 5 questions correct. To play another round, just say Alexa, open Family Trivia. ",,
,I spy,"I am on a farm. I spy, with my little eye, something that begins with the letter C. What do I see?","[Cow] Sorry that wasn't it. You have 2 guesses left. [Corn] Sorry that wasn't it. You have one guess left. [Crow] Sorry that wasn't it, and you are out of guesses. It was chicken. Do you want to play again? [No] Thank you for playing I Spy! You guessed correctly 0 out of 1 time. Please play again soon!",,
,My Fairy Tale,"Hi there buddy! Say ""start my adventure"" to begin!","[Start my adventure] Great! So, where does your story start today? Remember, say 'The End' when you want to finish your story. [The house] Hmm, looks like you didn't add anything to your story. That's okay, maybe next time! Goodbye!",Not fully functional,
,Kids Rhymes,"Here's your rhyme: The grand old duke of york had 10 thousand men, he marched them up to the top of the hill and he marched them down again. When they were up they were up, and when they were down they were down, but when they were only half way up, they were neither up nor down.","Here's your rhyme: Old MacDonald had a farm eye eye io, and on that farm, he had a cow eye eye io, with a moo, moo here and a moo, moo there, here a moo there a moo everywhere a moo, moo. Old MacDonald had a farm eye eye io!",,
,Science Kid Radio,KSKA from TuneIn,,No skill found (seems to redirect to built-in radio function),
,Hot Potato,"Let's play hot potato, how many people are playing?","[Three] Perfect, so there's 3 of you. When you're ready say, ready [Ready] Round 1 OK GO! <Short Audio> stop! hey you...with the potato. you're out. to play the next round say: again or ready [Again] Last round. Good luck you two OK GO! <Short Audio>  stop! winner winner, potato dinner! Do you want to play again? [No]",,
,Piggy Bank,"Welcome to the piggy bank skill where you and your family can create piggy banks and give them cool names, then add and subtract money from them. You can also set or list balances, and completely remove a piggy bank. You can always ask for help. To get started say create piggy bank and follow the prompts.","[Create piggy bank] Please, name your piggy bank [Bank One] You have created a piggy bank named 1 with 0 dollars in it. You can now set, add to, or subtract from the balance, what would you like to do? [Add three dollars] Added 3 dollars, 1 now has 3 dollars. what do you want to do next? [set to ten dollars] 1 now has 10 dollars. What do you want to do next? [subtract eleven dollars] subtracted 11 dollars, 1 now has negative 1 dollar. what do you want to do next? ",,
,forest lake relaxation sound,"Welcome to forest lake relaxation sound! Are you ready to start? if so, say yes. If not, say Stop.","[Yes] Hmm, I'm not sure.","Seems to use Audio-based responses, but even with this in mind it may not be functional",
,Hotel Transylvania Stories,"Welcome to the Hotel Transylvania skill.Drac, Mavis, and all your favorite monsters from Hotel Transylvania, are here to share brand new stories with you, and sing you nursery rhymes with a monster twist.let's get started! You can meet Drac's Pack, hear a story, or listen to a nursery rhyme. which one would you like?","[Meet Drac's Pack] Okay. Here's someone from drac's pack. Meet Big Foot <Short Audio> Would you like to meet someone else? [Yes] Okay. Get ready to meet one of drac's pack. Meet Blobby <Short Audio> Would you like to meet someone else? [No] Okay. You can hear a story, or listen to a nursery rhyme. which would you like? [Hear a story] Okay. Enjoy this monster of a tale called Invisible Dance  <Short Audio> Fun story! You can listen to another one, or hear a nursery rhyme. which would you like? [Hear a nursery rhyme] Okay. Enjoy this nursery rhyme called, Drac Was a Little Bat <Short Audio> That was monster fun! You can listen to another one, or hear a story. Which would you like to do?",,
,"Goodnight, Sleep Tight","Good night, sleep tight, do not let the bed bugs bite!",,"Invokes just ""Sleep Tight"" instead",
,Let's Read,"Bazinga, welcome back! I bet you have a really cool name, what is your name?","Did I hear you say your name is John ? [Yes] This game has ten levels, one has an easier word mix and ten has a harder word mix. You get points based on how hard the level is and on how many words you get correct. Which level do you want to play? [Level one] So you want to play level 1, yes? [Yes] That's a cool name, John. You look like you are ready to get started. Before we begin would you like me to review the rules? [Yes] I am the happy-helpy-helper-help-and-hint-menu. You can say help at anytime to hear these rules again. Once the game starts I will spell a word for you. I'll wait for you to tell me the word as fast as you can, but you only have a short amount of time, so don't wait too long. You should try to speak clearly. I'm still learning to listen, so sometimes I don't hear you very well; if that happens, I'll give you a hint to help me listen better. Do you need to hear the instructions again? [No] Here's the next one. d, o [do] Awesome! How about this? t, h, a, n [than] Way to go! What do these letters spell? n, o, t [set] Not quite right, but I can tell you're getting better.. The correct answer was not Can you answer what this word is? i, n, t, o [into] Fantastic! How about this? w, i, t, h [with] I'm so proud of your reading skills! Can you get this one? w, a, t, e, r [water]",Asks for user's name; Skill does NOT exit properly,
,Divine Office Magnificat,"The Divine Office is also called the Liturgy of the Hours or the Breviary. All three names refer to the same reality, the official prayer of the Church offered at various times of the day in order to sanctify it. Clergy and religious have a canonical obligation to pray the Liturgy of the Hours as official representatives of the Church. Increasingly, the laity are also praying it, though they do not do so in the name of the Church. Please let me share more with you about the Divine Office. ...After the people returned to Judea, and the Temple was re-built, the prayer services developed in Babylon for the local assemblies (synagogues) of the people were brought into Temple use, as well. We know that in addition to Morning and Evening Prayer to accompany the sacrifices, there was prayer at the Third, Sixth and Ninth Hours of the day. The Acts of the Apostles notes that Christians continued to pray at these hours (Third: Acts 2:15; Sixth: Acts 10:9; 10: 3, 13). And, although the Apostles no longer shared in the Temple sacrifices—they had its fulfillment in the ""breaking of the bread"" (the Eucharist)—they continued to frequent the Temple at the customary hours of prayer (Acts 3:1). Source: E W T N dot com slash expert slash answers slash breviary dot h t m ... ... ... 'Members of Teams of Our Lady pray Mary’s Magnificat, together, each day. Mary prayed her Magnificat when she visited her cousin Elizabeth. Mary’s Magnificat can be found in the Gospel of Luke, Chapter 1. This version of Mary’s Magnificat is from the Divine Office, which priests and deacons pray each day. Let us pray Mary’s Magnificat now: My soul proclaims the greatness of the Lord, my spirit rejoices in God my Savior for He has looked with favor on His lowly servant. From this day all generations will call me blessed: the Almighty has done great things for me, and holy is His Name. He has mercy on those who fear Him in every generation. He has shown the strength of his arm, he has scattered the proud in their conceit. He has cast down the mighty from their thrones, and has lifted up the lowly. He has filled the hungry with good things, and the right he has sent empty away. He has come to the help of His servant Israel for He has remembered His promise of mercy, the promise He made to our fathers, to Abraham and His children forever. Our Lady, Queen of Teams, pray for us. Amen. ... ... ... ... ... ... May you have a blessed day.",,,
,Hoot Hoot,Welcome to Hoot Hoot. This game supports up to 4 players. How many players are there?,"Ok. Players, press your buttons now, so I'll know which buttons you will be using.",Requires Amazon Echo buttons,
,The Night Before Christmas,starting The Night Before Christmas <Short audio>,,Asks for reviews; Skill does NOT exit properly,
,Merry Christmas (U.S. version),<Seemingly no response>,,Skill may not be functional,
,Kidz Quiz Bee,,,Skill not found,
,Highlights Storybooks from Bamboo,"Welcome to Highlights Storybooks from Bamboo! This skill boosts kids’ reading and listening comprehension through fun, interactive stories that engage, entertain and establish skills for school and beyond! Highlights Storybooks offers stories ranging from simple to complex, allowing children at all reading levels to listen and learn at their own pace! You can go to Level 1: Beginner Young Reader, Level 2: Intermediate Young Reader, or Level 3: Advanced Young Reader. Which level would you like?","[Level 1] Some storybooks I have are Bea and Lop, Davy Duck's Grumpy Day, and Enjoy the Show!. You can also ask for more storybooks. Which storybook would you like? [Bea and Lop] Listen to this passage from Bea and Lop. <Short Audio> Ready for a question? [Yes] The fridge was <Short Audio> Which word replaces the <Short Audio> [Empty] Good job! Ready for the next question? [No] You can say yes to hear the next question. You can also ask to switch books. Which would you like? [Switch books] Some storybooks I have are Pigs in My Garden. You can also ask for more storybooks. Which storybook would you like? [More storybooks] Some storybooks I have are Bea and Lop, Davy Duck's Grumpy Day, and Enjoy the Show!. You can also ask for more storybooks. Which storybook would you like? More storybooks] Some storybooks I have are Bea and Lop, Davy Duck's Grumpy Day, and Enjoy the Show!. You can also ask for more storybooks. Which storybook would you like? ",,
,Let's get moving,Welcome to Let's get moving! You will need some room to move. Stand in the middle of the room and stretch your arms out. Make sure you are not touching anything or anybody. Are you ready to start?,[Yes] Let's make some faces. Make a happy face Make a sad face Make a angry face Make a scary face Make a silly face Thats a great silly face. well done. <Short Audio> Run on the spot as fast as you can. I'll count to five. Go. 1 2 3 4 5 way to go.  <Short Audio> Let's really move. Shake your whole body and freeze when I say. Shake Shake Shake Shake Shake Shake Shake Freeze Shake Shake Shake Shake Freeze. Try and hold still Shake Shake Shake Shake Shake Shake Freeze well done. Would you like to keep moving? [No] Thanks for playing. Goodbye!,,
,What does a cow say,,,Skill not recognized,
,Railroad Math,"Welcome to railroad math, demonstrate your awesome math skills by answering correctly math equations. Are you ready to start?",[Yes] great! How much is 9 minus 3 plus 3 [Nine] Huzzah! 9 is correct! Are you ready for the next question? [Yes] great! How much is 2 times 2 plus 2 times 4 [twelve] Dun dun dun 12 is incorrect! the right answer was 24 Sometimes the questions are complicated and the answers are simple. Are you ready for the next question? [Yes] Righto! 13 is accurate! Are you ready for the next question? [No] Wowza! you answered correctly 2 out of 3 questions. You did good.! your score was 2. You have set a new personal highscore of and you have set today's highscore of the day! Goodbye! ,"This may be outside the scope of our research, but the skill uses incorrect order of operations and gets correct answers marked wrong",
,Kids Bible Alphabets,Here's your bible alphabet A for Abba,,No responses continue the skill; may not be functional,
,Mystery Animal Sound Game,Welcome to the Mystery Animal Sound Game. Would you like to play?,"[Yes] What animal made this sound? <Short Audio> Was it a cat, snowy owl, bat, or hawk? [Hawk] Sorry, that's not the right animal. Try again. <Short Audio> Was it a cat, snowy owl, bat, or hawk? [Bat] Sorry, that's not the right animal. Try again. <Short Audio> Was it a cat, snowy owl, bat, or hawk? [Cat] Sorry, that's not the right animal. Try again. <Short Audio> Was it a cat, snowy owl, bat, or hawk? [Snowy Owl] Snowy owl is the right animal! way to go! Say yes to play again, or no to quit. [Yes] What animal made this sound? <Short Audio> Was it a bear, tiger, giraffe, or buffalo? [Buffalo] Sorry, that's not the right animal. Try again. Was it a bear, tiger, giraffe, or buffalo? [Tiger] Tiger is the right animal! way to go! Say yes to play again, or no to quit. [No]  Thanks for playing, see you next time!",,
,My Horoscope,"Welcome to My Horoscope, where you’ll get insight from the stars about how to go through your day with ease and confidence. What sign do you want the horoscope for?","[Pisces] Oh a Pisces, a beautiful sign for a beautiful soul. Do you want me to remember that for the next time we talk? [Yes] Beautiful. If you’d like to get a horoscope for a different sign just say, “Alexa, change my default sign.” Pisces. August 5. It's possible that a particular matter in your world needs to be seen or treated like a mosquito, buzzing around the inside of a tent or bedroom. It can be surprising sometimes how something so small can be so irritating or annoying. But it can also be easy to believe more seriousness is needed than is necessary. Make an effort to see an issue in the right perspective. You'll then see how easily solvable or rectifiable it is. You can ask for the horoscope for another sign or your love life prediction. What would you like to do? [Love life prediction]  Mercury leaves your romantic sector today, two weeks after the Sun's departure took the solar spotlight off matters of the heart and all things romantic. This should be the end of this year's romantic quota but instead with Venus, the planet of love just three days away the best is still to come. Held back by a retrograde phase, Venus is saving the best until last. There are so many beautiful things in store for you. Our Gold membership includes daily predictions for your Weekly, Monthly, Career and Money. Would you like to learn more? [Yes] Sorry, I am unable to fulfill your request on this device. Please try again from your echo device.","Invokes some unkown ""User Touch Event;"" advertises its premium version",
,Party Trivia,"Sorry, I'm having trouble accessing your Party Trivia skill right now",,Skill not functional,
,Kid Spell,"Welcome to Kid Spell. I can spell words for you one letter at a time. What word can I spell for you? You can say the word spell, and then the word that you want me to spell, like spell cat, or spell dog.","[Spell cat] Cat is spelled: C. A. T. [Spell Numeral] Numeral is spelled: N. U. M. E. R. A. L. [Spell] Sorry, can you repeat the word? [Spell spell] Spell is spelled: S. P. E. L. L.",,
,Game of Twenty,Welcome to Game of twenty. Do you want to start or want to know the rules?,"[Rules] Each person may say one, two, or three numbers per turn starting with the number one, and the numbers must be said in counting order. Each person must start with the number after the last one that the other person said. Whoever says the number twenty wins the game. Do you want to hear an example or start the game? [Start the game] Ok! Let's start the game. First turn is yours! [one] hmmm, 2, 3, 4, your turn now. [five six] hmmm, 7, 8, your turn now. [nine ten eleven] hmmm, 12. It 's your turn now. [thirteen fourteen] hmmm, 15, 16, your turn now. [seventeen] hmmm, 18, 19, 20, Hurray. I won! It was nice playing with you. Would you like to play again?",,
,PSAT Word of the Day,Here's your word: belittle: to regard or portray as less impressive or important than appearances indicate; depreciate; disparage.,Here's your word: imperial: the ranking of an emperor.,,
,Three Little Pigs,"Welcome to the Three Little Pigs, say yes to start the game. ","[Yes] Once upon a time there was an old sow with three little pigs, and as she had not enough to keep them, she sent them out to seek their fortune. All three pigs decided to build a house, and set off to the brickworks to buy some bricks. But soon the three little pigs came across a man carrying a bundle of straw. The first little pig said to himself. Now I will not need to walk so far to the brickworks! I would much rather do less work and then spend the rest of the afternoon relaxing. Do you want to continue the story? [Yes] So the first little pig said to the man carrying straw. Please, man, give me that straw to build me a house. The man did, and the little pig quickly built a house with it right where he stood, and then settled down and prepared to have a sleep for the rest of the afternoon. Do you want to buy the straw too? [No] As you continue to walk with the other pigs, along came a wolf and knocked at the first pig's door. The wolf said, little pig, little pig, let me come in. The pig answered, no, no, by the hair of my chinny chin chin. The wolf replied, then I’ll huff and I’ll puff, and I’ll blow your house in. So he huffed and he puffed, and he blew his house in. Alas! because the house had not been very well made, it fell down, and the pig ran into the woods to hide from the wolf. Do you want to continue the story? [Yes] Meanwhile the second and third Pig were still on their way to the brickworks. When they passed a Man with a bundle of sticks, the second little Pig said to himself. Now I won’t need to walk so far to the brickworks! Sticks are stronger than straw – I think they’ll do the job, but anyway, I’m tired now. I’d much rather do less work and then spend the rest of my afternoon relaxing. So the first little pig said to the Man carrying the sticks. Please, Man, give me those sticks to build me a house. Do you want to buy the sticks too? [Yes] The Man gave you and the second pig sticks, and both of you quickly built a house with the sticks right where the man stood, and then settled down and prepared to have a sleep for the rest of the afternoon. Then along came the Wolf and said, Little Pig, little Pig, let me come in. No, no, by the hair of my chinny chin chin. Then I’ll puff and I’ll huff, and I’ll blow your house in! So he huffed and he puffed, and he puffed and he huffed, and at last he blew the house down, and the second pig ran into the woods to hide from the wolf. You ran along the road to catch up with the third pig. Do you want to continue the story? Finally the third little Pig reached the brickworks, where he met a Man with a load of bricks. He said: Please, Man, give me those bricks to build a house with. Do you want to buy the bricks too? [No] You watch from a distance as the Man kindly gave the third pig the bricks, and he built his house with them a little way over, carefully, and taking the time to do it well. So the Wolf came, as he did to the other little Pigs, and said, Little Pig, little Pig, let me come in. No, no, by the hair of my chinny chin chin. Then I’ll huff and I’ll puff, and I’ll blow your house in. Well, he huffed and he puffed, and he huffed and he puffed, and he puffed and he huffed; but he could not get the house down. When he found that he could not, with all his huffing and puffing, blow the house down. The wolf had given up and never bothered the pig again. The third little pig found his brothers and they lived happily ever after in the brick house. The end. ,Do you want to play again? [No]  Ok, see you next time! ",,
,Word Quiz,"What is the definition of vilify. Is it one: spread negative information about, two: lacking moral discipline, or three: cancel officially?",[One] Correct!,Invokes SAT Word Quiz instead; does not exit properly,
,Shopkins World,"Hello, Welcome to Shopkins World. Say tell me about and your shopkin name. For example, tell me about Mini Muffin. Go ahead try your favourite shopkin","[Tell me about mini muffin] A mini muffin is a miniature-sized, baked dessert that's about one-third the size of a regular muffin. The term can refer to two distinct items, a part-raised flatbread or a cupcake-like quick bread. Did that answer your question? [No] Thanks for your feedback.",,
,Happy Birthday song,<Audio Only Repsonse>,,,
,Multiplication Quiz,Welcome to Multiplication Spot Quiz. 'Are you ready to play the quiz'?,"[Yes] Ok! let's go to Multiplication Spot Quiz, 2*5=? [Ten] Bravo! This answer is correct. Your score is 1. 5*5=? [Ten] Argh! This answer is not correct. The correct answer is 25. Your score is 1. 9*1=? [Nine] Bravo! This answer is correct. Your score is 2. 10*6=? [Sixty] Bravo! This answer is correct. Your score is 3. 7*7=? [forty nine] hip hip hooray! This answer is correct. You got 4 out of 5 correct. You are Star! Do you want to continue? [No] Thank you for using Multiplication Spot Quiz!",Invokes Multiplication Spot Quiz instead,
,Ask My Child,"Okay, here's a question: What was the nicest thing you did for someone else?","Okay, here's a question: What challenged you today?",Does not actually check for a response,
,Be a Poet,"Sorry, I'm having trouble accessing your Be a Poet skill right now",,Skill not functional,
,The Head Elf Hotline,Who has been naughty or nice?,"[Any response] Sorry, I'm having trouble accessing your The Head Elf Hotline skill right now",Skill not fully functional,
,Pig Jokes,"Wanna hear a clean joke? Pig got a bath! Ohh, I crack myself up! Goodbye for now...","Wanna hear a dirty joke? Pig fell in the mud! LOL, that was a real knee slapper! See ya next time...",,
,guess the animal sound,"Welcome to Guess the animal Sound, 2.0!, Please say your name","[John]  Hi ,John, you will hear a sound and you must guess the animal. Ready ?, <Short Audio> [Cat] Keep going, which animal makes this noise [Owl] exceptional, Which animal makes this noise. [Bug] Please say the animal name, or answer, to know the animal, or next ,to skip it, or stop . [Cricket] TOO AWESOME, Which animal makes this noise. [Next] Cool, Which animal makes this noise. [Stop]  Your Score is 30, of 270, goodbye, come back soon, John ",Asks for name,
,Toddlebot,Let's play a color matching game. What color is the grass?,"[Green] Way to go, the grass is green. My favorite day is Thursday. What is your favorite day? [Friday] I think I would like that too! My favorite day is Wednesday. What is your favorite day? [Wednesday] Yay! we are the same! I'm thinking of a color. Can you guess the color? [Blue] I don't mind blue, but I was thinking of aqua. My favorite day is Sunday. What is your favorite day?",,
,Magical Adventure,,,Skill not found,
,Science Bowl,Welcome to Science Bowl! Do you want to play middle school or high school level?,"[High school level] Would you like to practice energy, physics, earth, biology, or all subjects? [All subjects] I will ask you 10 middle school questions. Just say the letter of the answer. Good luck! Question 1. In archery, which of the following represents good accuracy but bad precision? w. The arrows all hit far from the bulls-eye, but are close to each other . x. The arrows are all near the bulls-eye, but are far from each other . y. The arrows all hit the bulls-eye . z. The arrows all hit far from the bulls-eye and are far from each other . [X] The correct answer is x: The arrows are all near the bulls-eye, but are far from each other . Question 2. Which of the following can be found in both prokaryotic cells? w. Mitochondria . x. Chloroplasts . y. Nuclei . z. Flagella . [W] The correct answer is z: Flagella . Question 3. For reasons known only to her, Susie wants her houseplant Reggie the Radish to make as much oxygen as possible. Which of the following should Susie do to increase Reggie’s rate of oxygen production? w. Put a humidifier next to the plant . x. Bring in more plants to reduce the levels of carbon dioxide in the room . y. Set the thermostat to the lowest temperature possible in the room . z. Put the plant in the corner of the room where there is less light present . ",Skill not fully functional,
,Bedtime Lullaby Music,Welcome to lullaby music <Audio only response>,,,
,Ask Santa's Elves,"Hi, we're Santa's Elves. Try asking for your elf name.",[What is my elf name] Your elf name is Cookie Gumdrop.,,
,Times Table Quiz,"Welcome to the Times Table Quiz! If you would like questions across all the twelve times table, just say, start a quiz. If you would like questions on a particular times table, for example, the six times table, just say, start a quiz for the six times table. What would you like to do?",[start a quiz] OK. I will ask you 10 questions about the Times Table. Here is question number 1. What is 2 times 5? [ten] 10 is correct. 2 times 5 equals 10. Your current score is 1 out of 1. Here is question number 2. What is 9 times 11? [ninety nine] 99 is correct. 9 times 11 equals 99. Your current score is 2 out of 2. Here is question number 3. What is 0 times 8? [zero] 0 is correct. 0 times 8 equals 0. Your current score is 3 out of 3. Here is question number 4. What is 0 times 4? [zero] 0 is correct. 0 times 4 equals 0. Your current score is 4 out of 4. Here is question number 5. What is 9 times 7? [sixty three] 63 is correct. 9 times 7 equals 63. Your current score is 5 out of 5. Here is question number 6. What is 6 times 7? [forty two] 42 is correct. 6 times 7 equals 42. Your current score is 6 out of 6. Here is question number 7. What is 2 times 4? [eight] 8 is correct. 2 times 4 equals 8. Your current score is 7 out of 7. Here is question number 8. What is 2 times 7? [fourteen] 14 is correct. 2 times 7 equals 14. Your current score is 8 out of 8. Here is question number 9. What is 6 times 8? [forty eight] 48 is correct. 6 times 8 equals 48. Your current score is 9 out of 9. Here is question number 10. What is 0 times 7? [zero] 0 is correct. 0 times 7 equals 0. Your final score is 10 out of 10. Thank you for playing the Times Table Quiz! Let's play again soon! ,,
,Purple Kitty Cartoon,"Hello. This is Purple Kitty. Your personal pet on the Alexa. To get started, say something like 'Dance' or 'Throw kitty the ball'.","[Either choice] Sorry, I'm having trouble accessing your Purple Kitty Cartoon skill right now",Not fully functional,
,English Rhymes,<Audio Only Response>,,,
,Noisy Farm,Welcome to Noisy Farm. Just ask Noisy Farm the sound of an animal you might find in a farm such as a pig.,"[Cow] Ask me a farm animal sound. For example, ask Noisy Farm what sound does a sheep make. [What sound does a cow make] Here comes a cow sound. <Short audio> Try another animal. [What sound does a chicken make] Here comes a chicken sound. <Short audio> Try another animal. [Stop] Thank you for using the Noisy Farm skill, have a great day! ",,
,Old Mother Goose,"Hello! Welcome to Old Mother Goose, a collection of classic nursery rhymes. You can name a rhyme like 'Jack and Jill' ... say 'Random' and I pick a rhyme for you ... or say 'List' for a list of available rhymes sent to your Alexa app. ... What rhyme would you like to hear?","[Jack and Jill] Jack and Jill went up the hill, To fetch a pail of water; Jack fell down, and broke his crown. And Jill came tumbling after.... ... Do you want to hear another rhyme? ... Say another name, say 'random', or say 'stop' to end our session. [Random] Three little kittens lost their mittens; And they began to cry, Oh! mother, dear, we very much fear, That we have lost our mittens. Lost your mittens! You naughty kittens! Then you shall have no pie. Mee-ow, mee-ow, mee-ow. No, you shall have no pie. Mee-ow, mee-ow, mee-ow.... ... Do you want to hear another rhyme? ... Say another name, say 'random', or say 'stop' to end our session. [Stop] Bye bye now!",,
,Fun Chemistry,Thanks for checking out Fun Chemistry! Your favorite kid friendly chemistry resource! You can ask me for information on all 118 elements on the Periodic Table,"[Radon] Start by asking, tell me about Helium! [Tell me about Radon] Radon is a chemical element with symbol R N and atomic number 86. It is a radioactive, colorless, odorless, tasteless noble gas, occurring naturally as a decay product of radium. Its most stable isotope, 222R N, has a half-life of 3.8 days.",,
